date,side,entry,sl,tp,exit_price,result,pnl_r,pnl_usd,balance
2024-12-22 14:15,SHORT,2.21910126,2.24625,2.16480378,2.24625,LOSS,-1.05,-525.000000,49475.000000
2024-12-22 21:15,SHORT,2.2216298,2.26025,2.1443894,2.1443894,WIN,1.95,964.7625000000,50439.7625000000
2024-12-23 01:30,SHORT,2.2007086,2.22275,2.1566258,2.22275,LOSS,-1.05,-529.61750625000000,49910.14499375000000
2024-12-23 08:30,SHORT,2.20302684,2.23335,2.14238052,2.14238052,WIN,1.95,973.247827378125000000,50883.392821128125000000
2024-12-23 15:00,SHORT,2.21189,2.22335,2.18897,2.22335,LOSS,-1.05,-534.2756246218453125000000,50349.1171965062796875000000
2024-12-24 06:45,LONG,2.2326578,2.21245,2.2730734000000004,2.2730734000000004,WIN,1.95,981.8077853318724539062500000,51330.92498183815214140625000
2024-12-25 05:45,LONG,2.300161,2.27705,2.3463830000000003,2.27705,LOSS,-1.05,-538.9747123093005974847656250,50791.95026952885154392148438
2024-12-25 17:30,LONG,2.2807898,2.26975,2.3028693999999996,2.3028693999999996,WIN,1.95,990.4430302558126051064689454,51782.39329978466414902795333
2024-12-25 19:30,LONG,2.2807898,2.26975,2.3028693999999996,2.26975,LOSS,-1.05,-543.7151296477389735647935100,51238.67817013692517546315982
2024-12-26 13:45,SHORT,2.1832735999999997,2.20245,2.1449207999999995,2.1449207999999995,WIN,1.95,999.1542243176700409215316165,52237.83239445459521638469144
2024-12-26 17:45,SHORT,2.1730598,2.18685,2.1454793999999993,2.1454793999999993,WIN,1.95,1018.637731691864606719501483,53256.47012614645982310419292
2024-12-27 00:15,SHORT,2.1530936,2.16845,2.1223808,2.16845,LOSS,-1.05,-559.1929363245378281425940257,52697.27718982192199496159889
2024-12-27 05:00,SHORT,2.1595252,2.17725,2.1240756000000003,2.17725,LOSS,-1.05,-553.3214104931301809470967883,52143.95577932879181401450210
2024-12-27 07:15,SHORT,2.1694451999999997,2.18335,2.1416355999999994,2.18335,LOSS,-1.05,-547.5115356829523140471522720,51596.44424364583949996734983
2024-12-28 04:30,SHORT,2.1490628000000003,2.15655,2.1340884000000004,2.15655,LOSS,-1.05,-541.7626645582813147496571732,51054.68157908755818521769266
2024-12-28 10:00,SHORT,2.163074,2.16995,2.1493219999999997,2.16995,LOSS,-1.05,-536.0741565804193609447857729,50518.60742250713882427290689
2024-12-28 12:00,SHORT,2.1677774,2.17515,2.1530321999999997,2.17515,LOSS,-1.05,-530.4453779363249576548655223,49988.16204457081386661804137
